Date,"Afghanistan: Official exchange rate (LCU per US$, period average)",Algeria: PPP conversion factor (GDP) to market exchange rate ratio,"Angola: CPI Price, % y-o-y, nominal, seas. adj.",Antigua and Barbuda: Broad money growth (annual %),Argentina: Money and quasi money growth (annual %),Aruba: Real interest rate (%),"Australia: Risk premium on lending (prime rate minus treasury bill rate, %)",Austria: Return on assets (%),Azerbaijan: Return on equity (%),"The Bahams: Foreign direct investment, net outflows (% of GDP)",Bangladesh: External balance on goods and services (% of GDP),Barbados: Trade (% of GDP),"Belarus: Current Account Balance, %GDP",Belgium: Terms of Trade,Belize: Cash surplus/deficit (% of GDP),Bosnia & Herzegovina: Domestic credit to private sector (% of GDP),Botswana: Central bank intervention rate (%),Brazil: Bank capital to assets ratio (%),Brunei Darussalam: Credit to government and state-owned enterprises to GDP (%),Bulgaria: Population growth (annual %),Burkina Faso: Global Competitiveness Index (GCI),Cambodia: Household final consumption expenditure (annual % growth),"Cameroon: Change in Inventories, constant US$, millions",Canada: S&P Global Equity Indices (annual % change),"Central African Rep.: average years of total schooling, 15+, total",Chad: Gross capital formation (annual % growth),Chile: Gross capital formation (% of GDP),"People's Republic of China.: Mainland: Adjusted net savings, excluding particulate emission damage (% of GNI)",People's Republic of China.:Hong Kong: GDP (constant 2000 US$),Comoros: Control of Corruption: Percentile Rank,Republic of Congo: Political Stability and Absence of Violence/Terrorism: Percentile Rank,Costa Rica: Voice and Accountability: Percentile Rank,C?te d'Ivoire: Regulatory Quality (estimate),Denmark: Ease of doing business index (1=most business-friendly regulations),Djibouti: Protecting investors (rank),Dominica: Strength of legal rights index (0=weak to 10=strong),Ecuador: Strength of investor protection index (0 to 10),Egypt: Total tax rate (% of commercial profits),"Estonia: Labor participation rate, total (% of total population ages 15+)","Ethiopia: Life expectancy at birth, total (years)","Fiji: Population, total",Finland: Age dependency ratio (% of working-age population),France: GINI index,Gabon: Average precipitation in depth (mm per year)
1960-12-31,193.90500943391004,,,,,,,,,,0.6894269251778199,109.41255006676,,1.04018159279,,,,,,0.95293653815999,,,5.500000000000001e-10,,,,17.363156751822,,,,,,,,,,,,,38.405707317073,393383.0,60.549596164469,,
1961-12-31,193.90500943391004,,,,-0.35971223021582,,,,,,-0.9176455618553101,103.87984981226,,1.00844848142,,,,,,0.9581558813006601,,,0.0020911077399999997,,,9.5892994176354,18.110560883392,,,,,,,,,,,,,39.068634146342,407152.0,59.602892813903,,
1962-12-31,193.90500943391004,,,,10.108303249097,,,,,,-0.061345709045445,114.01925391095,,1.01073911148,,,,,,0.8752590335616299,,,0.0020911077399999997,,,-16.250186811884998,15.451074744449,,,,,,,,,,,,,39.697658536585,421576.0,58.315952951892,,1831.0
1963-12-31,395.88939426089996,,,,33.114754098361004,,,,,,-1.6727928188149,115.935828877,,0.9920888123200001,,,,,,0.8103783243562199,,,0.0020911077399999997,,,26.866255891258,17.986117518575,,,,,,,,,,,,,40.276804878049,436208.0,56.868063365763,,
1964-12-31,436.28627122629996,,,,41.379310344828,,,,,,-4.0934429773877,112.48654467168998,,1.0017158551899998,,,,,,0.8160940495501199,,,0.0020911077399999997,,,-3.5296534578506,17.392823714781002,,,,,,,,,,,,,40.797073170732006,450452.0,55.483842959556,,
1965-12-31,436.28627122629996,,,,27.003484320557998,,,,,,-3.7038808950521998,126.90742624618,,1.0137090513,,,,,,0.73191103529221,,,0.0020911077399999997,,,-25.609977959025002,18.262689691261002,,16984613674.75,,,,,,,,,,,41.254463414633996,463884.0,54.309317056644,,
1966-12-31,436.28627122629996,,,,31.550068587106,,,,,,-2.3675413201074,136.76262387919,,1.01893863536,,,,,,0.6547012021586,,,0.0020911077399999997,,,16.393501687432998,18.918918918919,,17289402231.943,,,,,,,,,,,41.655975609756,476329.0,53.388265816248996,,
1967-12-31,436.28627122629996,,,,53.806047966632,,,,,,-3.2895758627182996,130.25597985732,,1.01867142454,,,,,,0.62974748090139,,,0.0020911077399999997,,,19.718849009912,18.75,,17566606068.085,,,,,,,,,,,42.01556097561,487911.0,52.671738771570006,,1831.0
1968-12-31,436.28627122629996,,,,28.067796610169,,,,,,-3.2755225166637003,138.20101966497,,1.0146864631899999,,,,,,0.71196474274479,,,0.0020911077399999997,,,-3.5296124503055,18.992805755396,,18163408291.166,,,,,,,,,,,42.346170731707,498887.0,52.09517450555101,,
1969-12-31,436.28627122629996,,,,20.910534674431,,,,,,-3.5193363448949997,139.54015544041,,1.0290726145,,,,,,0.76850966869777,,,0.0020911077399999997,,,18.292469661069,17.803943821819,,20223783459.882,,,,,,,,,,,42.652804878049004,509659.0,51.561493592591,,
